AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2025,01,030101,APURIMAC,ABANCAY,ABANCAY,M,30-59 AÑOS,PERÚ,1
2025,09,150103,LIMA METROPOLITANA,LIMA,ATE,M,60 A MAS AÑOS,PERÚ,5
2019,02,210401,PUNO,CHUCUITO,JULI,F,12-17 AÑOS,PERÚ,2
2024,02,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,F,18-29 AÑOS,PERÚ,4
2022,05,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,M,18-29 AÑOS,PERÚ,2
2025,01,080301,CUSCO,ANTA,ANTA,F,12-17 AÑOS,PERÚ,2
2020,11,140201,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,M,12-17 AÑOS,PERÚ,1
2021,06,120211,JUNÍN,CONCEPCION,MITO,F,12-17 AÑOS,PERÚ,1
2023,05,220401,SAN MARTÍN,HUALLAGA,SAPOSOA,F,12-17 AÑOS,PERÚ,2
2024,06,140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,F,12-17 AÑOS,PERÚ,1
2023,08,130109,LA LIBERTAD,TRUJILLO,SALAVERRY,M,6-11 AÑOS,PERÚ,2
2023,05,020101,ÁNCASH,HUARAZ,HUARAZ,F,12-17 AÑOS,PERÚ,1
2023,12,021001,ÁNCASH,HUARI,HUARI,M,0-5 AÑOS,PERÚ,1
2019,09,060112,CAJAMARCA,CAJAMARCA,SAN JUAN,M,12-17 AÑOS,PERÚ,1
2022,02,150101,LIMA METROPOLITANA,LIMA,LIMA,M,18-29 AÑOS,PERÚ,6
2022,02,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,12-17 AÑOS,PERÚ,2
2020,04,060808,CAJAMARCA,JAEN,PUCARA,F,12-17 AÑOS,PERÚ,1
2021,06,090117,HUANCAVELICA,HUANCAVELICA,YAULI,F,12-17 AÑOS,PERÚ,1
2019,12,220105,SAN MARTÍN,MOYOBAMBA,SORITOR,F,12-17 AÑOS,PERÚ,2
